,Time,Time (s),Head Temp [°F],RPM [rpm],GPS_Speed [mph],Prop Slip [% Slip]
0, 08.00.607,"0,000",243724,"0,000",23799,100000
1,,"0,020",243724,1709677,23799,85105
2,,"0,040",243724,3419354,23799,70209
3,,"0,060",243724,4673504,23799,65133
4,,"0,080",243724,5472129,23799,69875
5,,"0,100",243724,6270754,23799,74618
6,,"0,120",243724,6400748,23799,75118
7,,"0,140",243724,6530741,23799,75618
8,,"0,160",243724,6636196,23799,76012
9,,"0,180",243724,6717112,23799,76299
10,,"0,200",243724,6798029,23799,76587
11,,"0,220",243724,6904527,23799,76940
12,,"0,240",243724,7011025,23799,77293
13,,"0,260",243724,7103799,23799,77592
14,,"0,280",243724,7182849,23799,77837
15,,"0,300",243724,7261899,23799,78082
16,,"0,320",243724,7299283,23799,78194
17,,"0,340",243724,7336667,23799,78305
18,,"0,360",243724,7347262,23799,78337
19,,"0,380",243724,7331068,23799,78289
20,,"0,400",243724,7314874,23799,78241
21,,"0,420",243724,7284900,23799,78151
22,,"0,440",243724,7254927,23799,78061
23,,"0,460",243724,7259126,23799,78073
24,,"0,480",243724,7297499,23799,78188
25,,"0,500",243724,7335871,23799,78303
26,,"0,520",243724,7291954,23799,78171
27,,"0,540",243724,7248038,23799,78040
28,,"0,560",243724,7223746,23799,77966
29,,"0,580",243724,7219080,23799,77952
30,,"0,600",243724,7214414,23799,77938
31,,"0,620",243724,7215512,23799,77941
32,,"0,640",243724,7216610,23799,77945
33,,"0,660",243724,7213618,23799,77936
34,,"0,680",243724,7206536,23799,77914
35,,"0,700",243724,7199455,23799,77892
36,,"0,720",243724,7201102,23799,77897
37,,"0,740",243724,7202749,23799,77902
38,,"0,760",243724,7210159,23799,77925
39,,"0,780",243724,7223334,23799,77965
40,,"0,800",243724,7236509,23799,78005
41,,"0,820",243724,7282567,23799,78143
42,,"0,840",243724,7328625,23799,78281
43,,"0,860",243724,7368781,23799,78400
44,,"0,880",243724,7403036,23799,78499
45,,"0,900",243724,7437291,23799,78599
46,,"0,920",243724,7495590,23799,78764
47,,"0,940",243724,7553890,23799,78928
48,,"0,960",243724,7619765,23799,79110
49,,"0,980",243724,7693216,23799,79308
50,,1000,243724,7766667,23799,79507
51,,1020,243724,7826503,23799,79662
52,,1040,243724,7886339,23799,79817
53,,1060,243724,7941016,23799,79956
54,,1080,243724,7990532,23799,80080
55,,1100,243724,8040048,23799,80204
56,,1120,243724,8094450,23799,80335
57,,1140,243724,8148852,23799,80467
58,,1160,243724,8187855,23799,80561
59,,1180,243724,8211460,23799,80617
60,,1200,243724,8235065,23799,80672
61,,1220,243724,8241708,23799,80688
62,,1240,243724,8248350,23799,80703
63,,1260,243724,8250737,23799,80709
64,,1280,243724,8248871,23799,80705
65,,1300,243724,8247005,23799,80700
66,,1320,243724,8252714,23799,80714
67,,1340,243724,8258424,23799,80727
68,,1360,243724,8266356,23799,80745
69,,1380,243724,8276512,23799,80769
70,,1400,243724,8286667,23799,80793
71,,1420,243724,8294462,23799,80811
72,,1440,243724,8302258,23799,80829
73,,1460,243724,8307253,23799,80840
74,,1480,243724,8309449,23799,80845
75,,1500,243724,8311645,23799,80850
76,,1520,243724,8324984,23799,80881
77,,1540,243724,8338324,23799,80912
78,,1560,243724,8389624,23799,81026
79,,1580,243724,8478885,23799,81225
80,,1600,243724,8568146,23799,81424
81,,1620,243724,8675138,23799,81649
82,,1640,243724,8782130,23799,81874
83,,1660,243724,8549125,23799,81289
84,,1680,243724,7976122,23799,79895
85,,1700,243724,7403119,23799,78500
86,,1720,243724,7203847,23799,77880
87,,1740,243724,7004575,23799,77259
88,,1760,243724,6913146,23799,76976
89,,1780,243724,6929559,23799,77031
90,,1800,243724,6945973,23799,77085
91,,1820,243724,6943063,23799,77076
92,,1840,243724,6940154,23799,77066
93,,1860,243724,6941636,23799,77071
94,,1880,243724,6947510,23799,77090
95,,1900,243724,6953384,23799,77110
96,,1920,243724,6964583,23799,77146
97,,1940,243724,6975782,23799,77183
98,,1960,243724,6982232,23799,77204
99,,1980,243724,6983934,23799,77210
100,,2000,243724,6985635,23799,77215
101,,2020,243724,6990082,23799,77230
102,,2040,243724,6994529,23799,77244
103,,2060,243724,7007704,23799,77287
104,,2080,243724,7029607,23799,77358
105,,2100,243724,7051510,23799,77428
106,,2120,243724,7075006,23799,77503
107,,2140,243724,7098501,23799,77577
108,,2160,243724,7121036,23799,77648
109,,2180,243724,7142610,23799,77716
110,,2200,243724,7164184,23799,77783
111,,2220,243724,7178512,23799,77828
112,,2240,243724,7192840,23799,77872
113,,2260,243724,7202227,23799,77901
114,,2280,243724,7206674,23799,77914
115,,2300,243724,7211120,23799,77928
116,,2320,243724,7210461,23799,77926
117,,2340,243724,7209803,23799,77924
118,,2360,243724,7211532,23799,77929
119,,2380,243724,7215649,23799,77942
120,,2400,243724,7219766,23799,77954
121,,2420,243724,7241999,23799,78022
122,,2440,243724,7264232,23799,78089
123,,2460,243724,7287974,23799,78160
124,,2480,243724,7313227,23799,78236
125,,2500,243724,7338479,23799,78311
126,,2520,243724,7352477,23799,78352
127,,2540,243724,7366476,23799,78393
128,,2560,243724,7369879,23799,78403
129,,2580,243724,7362688,23799,78382
130,,2600,243724,7355496,23799,78361
131,,2620,243724,7344792,23799,78330
132,,2640,243724,7334087,23799,78298
133,,2660,243724,7328570,23799,78282
134,,2680,243724,7328240,23799,78281
135,,2700,243724,7327911,23799,78280
136,,2720,243724,7335871,23799,78303
137,,2740,243724,7343831,23799,78327
138,,2760,243724,7354481,23799,78358
139,,2780,243724,7367820,23799,78397
140,,2800,243724,7381160,23799,78436
141,,2820,243724,7383411,23799,78443
142,,2840,243724,7385662,23799,78450
143,,2860,243724,7395323,23799,78478
144,,2880,243724,7412396,23799,78527
145,,2900,243724,7429468,23799,78577
146,,2920,243724,7457355,23799,78656
147,,2940,243724,7485243,23799,78736
148,,2960,243724,7505225,23799,78793
149,,2980,243724,7517302,23799,78827
150,,3000,243724,7529379,23799,78861
151,,3020,243724,7534594,23799,78875
152,,3040,243724,7539809,23799,78890
153,,3060,243724,7541538,23799,78895
154,,3080,243724,7539782,23799,78890
155,,3100,243724,7538025,23799,78885
156,,3120,243724,7542087,23799,78896
157,,3140,243724,7546149,23799,78908
158,,3160,243724,7546396,23799,78909
159,,3180,243724,7542829,23799,78899
160,,3200,243724,7539260,23799,78889
161,,3220,243724,7539864,23799,78890
162,,3240,243724,7540468,23799,78892
163,,3260,243724,7543515,23799,78900
164,,3280,243724,7549004,23799,78916
165,,3300,243724,7554494,23799,78931
166,,3320,243724,7547028,23799,78910
167,,3340,243724,7539562,23799,78889
168,,3360,243724,7535829,23799,78879
169,,3380,243724,7535829,23799,78879
170,,3400,243724,7535829,23799,78879
171,,3420,243724,7525893,23799,78851
172,,3440,243724,7515957,23799,78823
173,,3460,243724,7505966,23799,78795
174,,3480,243724,7495920,23799,78766
175,,3500,243724,7485874,23799,78738
176,,3520,243724,7487082,23799,78741
177,,3540,243724,7488289,23799,78745
178,,3560,243724,7490019,23799,78750
179,,3580,243724,7492269,23799,78756
180,,3600,243724,7494520,23799,78763
181,,3620,243724,7490842,23799,78752
182,,3640,243724,7487164,23799,78742
183,,3660,243724,7478106,23799,78716
184,,3680,243724,7463668,23799,78675
185,,3700,243724,7449231,23799,78633
186,,3720,243724,7443083,23799,78616
187,,3740,243724,7436935,23799,78598
188,,3760,243724,7433421,23799,78588
189,,3780,243724,7432542,23799,78585
190,,3800,243724,7431664,23799,78583
191,,3820,243724,7427821,23799,78572
192,,3840,243724,7423979,23799,78561
193,,3860,243724,7422167,23799,78556
194,,3880,243724,7422387,23799,78556
195,,3900,243724,7422606,23799,78557
196,,3920,243724,7418544,23799,78545
197,,3940,243724,7414482,23799,78533
198,,3960,243724,7412066,23799,78526
199,,3980,243724,7411298,23799,78524
200,,4000,243724,7410529,23799,78522
201,,4020,243724,7406138,23799,78509
202,,4040,243724,7401746,23799,78496
203,,4060,243724,7392002,23799,78468
204,,4080,243724,7376906,23799,78424
205,,4100,243724,7361809,23799,78380
206,,4120,243724,7345834,23799,78333
207,,4140,243724,7329860,23799,78285
208,,4160,243724,7321845,23799,78262
209,,4180,243724,7321790,23799,78262
210,,4200,243724,7321735,23799,78261
211,,4220,243724,7322284,23799,78263
212,,4240,243724,7322833,23799,78265
213,,4260,243724,7311662,23799,78231
214,,4280,243724,7288771,23799,78163
215,,4300,243724,7265879,23799,78094
216,,4320,243724,7237553,23799,78008
217,,4340,243724,7209226,23799,77922
218,,4360,243724,7186938,23799,77854
219,,4380,243724,7170689,23799,77803
220,,4400,243724,7154440,23799,77753
221,,4420,243724,7143242,23799,77718
222,,4440,243724,7132043,23799,77683
223,,4460,243724,7116919,23799,77636
224,,4480,243724,7097870,23799,77576
225,,4500,243724,7078821,23799,77515
226,,4520,243724,7057192,23799,77446
227,,4540,243724,7035563,23799,77377
228,,4560,243724,7016075,23799,77314
229,,4580,243724,6998728,23799,77258
230,,4600,243724,6981381,23799,77202
231,,4620,243724,6969139,23799,77161
232,,4640,243724,6956897,23799,77121
233,,4660,243724,6945095,23799,77082
234,,4680,243724,6933731,23799,77045
235,,4700,243724,6922368,23799,77007
236,,4720,243724,6907491,23799,76958
237,,4740,243724,6892614,23799,76908
238,,4760,243724,6874499,23799,76847
239,,4780,243724,6853144,23799,76775
240,,4800,243724,6831790,23799,76702
241,,4820,243724,7226820,23804,77874
242,,4840,243724,7621851,23810,79046
243,,4860,243724,7994319,23816,80040
244,,4880,243724,8344226,23822,80855
245,,4900,243724,8694132,23828,81670
246,,4920,243724,8738104,23834,81757
247,,4940,243724,8782075,23840,81844
248,,4960,243724,8780153,23846,81836
249,,4980,243724,8732340,23851,81732
250,,5000,243724,8684525,23857,81627
251,,5020,243724,8639676,23863,81527
252,,5040,243724,8594825,23869,81426
253,,5060,243724,8551128,23875,81326
254,,5080,243724,8508584,23881,81228
255,,5100,243724,8466039,23887,81130
256,,5120,243724,8416742,23893,81014
257,,5140,243724,8367446,23899,80897
258,,5160,243724,8314664,23904,80771
259,,5180,243724,8258396,23910,80635
260,,5200,243724,8202128,23916,80499
261,,5220,243724,8131971,23922,80323
262,,5240,243724,8061814,23928,80148
263,,5260,243724,7986469,23934,79955
264,,5280,243724,7905937,23940,79745
265,,5300,243724,7825405,23946,79535
266,,5320,243724,7752942,23952,79336
267,,5340,243724,7680480,23957,79136
268,,5360,243724,7613836,23963,78949
269,,5380,243724,7553012,23969,78774
270,,5400,243724,7492187,23975,78598
271,,5420,243724,7447721,23981,78464
272,,5440,243724,7403256,23987,78330
273,,5460,243724,7361206,23993,78201
274,,5480,243724,7321571,23999,78077
275,,5500,243724,7281936,24005,77953
276,,5520,243724,7244552,24010,77833
277,,5540,243724,7207167,24016,77713
278,,5560,243724,7169290,24022,77590
279,,5580,243724,7130917,24028,77463
280,,5600,243724,7092545,24034,77337
281,,5620,243724,7042150,24040,77167
282,,5640,243724,6991756,24046,76998
283,,5660,243724,6941444,24052,76825
284,,5680,243724,6891214,24058,76650
285,,5700,243724,6840985,24063,76475
286,,5720,243724,6784277,24069,76270
287,,5740,243724,6727570,24075,76065
288,,5760,243724,6665428,24081,75835
289,,5780,243724,6597851,24087,75580
290,,5800,243724,6530274,24093,75325
291,,5820,243724,6450895,24099,75010
292,,5840,243724,6371516,24105,74694
293,,5860,243724,6295320,24111,74382
294,,5880,243724,6222309,24116,74073
295,,5900,243724,6149297,24122,73765
296,,5920,243724,6634027,24128,75487
297,,5940,243724,7118758,24134,77209
298,,5960,243724,7610734,24140,78704
299,,5980,243724,8109958,24146,79971
300,,6000,243724,8609181,24152,81238
301,,6020,243724,8716173,24158,81460
302,,6040,243724,8823164,24163,81681
303,,6060,243724,8875343,24169,81787
304,,6080,243724,8872708,24175,81777
305,,6100,243724,8870073,24181,81768
306,,6120,243724,8868151,24187,81759
307,,6140,243724,8866230,24193,81751
308,,6160,243724,8874739,24199,81764
309,,6180,243724,8893678,24205,81798
310,,6200,243724,8912617,24211,81832
311,,6220,243724,8082592,24216,79621
312,,6240,243724,7252566,24222,77410
313,,6260,243724,6697816,24228,75762
314,,6280,243724,6418341,24234,74677
315,,6300,243724,6138867,24240,73592
316,,6320,243724,6184156,24246,73777
317,,6340,243724,6229445,24252,73962
318,,6360,243724,6272126,24258,74133
319,,6380,243724,6312200,24264,74290
320,,6400,243724,6352274,24269,74448
321,,6420,243724,6381095,24275,74556
322,,6440,243724,6409915,24281,74665
323,,6460,243724,6441288,24287,74782
324,,6480,243724,6475213,24293,74908
325,,6500,243724,6509139,24299,75033
326,,6520,243724,6530384,24305,75108
327,,6540,243724,6551628,24311,75183
328,,6560,243724,6561784,24317,75216
329,,6580,243724,6560851,24322,75206
330,,6600,243724,6559918,24328,75197
331,,6620,243724,6540046,24334,75115
332,,6640,243724,6520173,24340,75033
333,,6660,243724,6495250,24346,74931
334,,6680,243724,6465277,24352,74808
335,,6700,243724,6435304,24358,74686
336,,6720,243724,6391662,24445,74419
337,,6740,243724,6348020,24532,74153
338,,6760,243724,6302319,24619,73872
339,,6780,243724,6254560,24706,73579
340,,6800,243724,6206800,24793,73285
341,,6820,243724,6172765,24842,73082
342,,6840,243724,6138729,24892,72879
343,,6860,243724,6201833,24942,73087
344,,6880,243724,6362073,24992,73705
345,,6900,243724,6522314,25041,74323
346,,6920,243724,7177881,25066,76365
347,,6940,243724,7833447,25091,78407
348,,6960,243724,8311535,25116,79766
349,,6980,243724,8612146,25141,80441
350,,7000,243724,8912755,25166,81116
351,,7020,243724,8878226,25178,81033
352,,7040,243724,8843695,25190,80950
353,,7060,243724,8812433,25203,80873
354,,7080,243724,8784436,25215,80802
355,,7100,243724,8756438,25228,80732
356,,7120,243724,8735743,25253,80667
357,,7140,243724,8715047,25277,80602
358,,7160,243724,8700226,25302,80550
359,,7180,243724,8691277,25327,80511
360,,7200,243724,8682329,25352,80471
361,,7220,243724,8686062,25377,80461
362,,7240,243724,8689795,25402,80450
363,,7260,243724,8698029,25427,80449
364,,7280,243724,8710765,25451,80459
365,,7300,243724,8723501,25476,80468
366,,7320,243724,8744910,25489,80506
367,,7340,243724,8766319,25501,80545
368,,7360,243724,8786905,25514,80581
369,,7380,243724,8806668,25526,80615
370,,7400,243724,8826431,25538,80649
371,,7420,243724,8849542,25545,80695
372,,7440,243724,8872653,25551,80740
373,,7460,243724,8887832,25557,80769
374,,7480,243724,8895078,25563,80780
375,,7500,243724,8902324,25569,80791
376,,7520,243724,8898262,25576,80777
377,,7540,243724,8894200,25582,80764
378,,7560,243724,8886844,25588,80743
379,,7580,243724,8876194,25594,80715
380,,7600,243724,8865544,25600,80687
381,,7620,243724,8862086,25613,80671
382,,7640,243724,8858628,25625,80654
383,,7660,243724,8851931,25638,80630
384,,7680,243724,8841994,25650,80598
385,,7700,243724,8832058,25663,80567
386,,7720,243724,8821901,25675,80535
387,,7740,243724,8811746,25687,80503
388,,7760,243724,8811966,25700,80495
389,,7780,243724,8822561,25712,80509
390,,7800,243724,8833155,25725,80523
391,,7820,243724,8514155,25737,79739
392,,7840,243724,8195155,25750,78955
393,,7860,243724,7744049,25762,77607
394,,7880,243724,7160835,25774,75694
395,,7900,243724,6577622,25787,73780
396,,7920,243724,6440328,25799,73190
397,,7940,243724,6303033,25812,72599
398,,7960,243724,6265265,25824,72431
399,,7980,243724,6327022,25837,72686
400,,8000,243724,6388780,25849,72940
401,,8020,243724,6443182,25874,73140
402,,8040,243724,6497584,25899,73341
403,,8060,243724,6547457,25924,73519
404,,8080,243724,6592801,25948,73675
405,,8100,243724,6638145,25973,73832
